"v","e","s","t"
10000,24997500,2,8240517430
10000,24997500,3,8240768786
10000,24997500,0,12987269112
10000,24997500,1,160028
10000,24997500,2,8271822557
10000,24997500,3,8272080977
10000,24997500,0,13086406653
10000,24997500,1,157704
10000,24997500,2,8325404727
10000,24997500,3,8325659601
10000,24997500,0,12942378989
10000,24997500,1,158911
10000,24997500,2,8300328692
10000,24997500,3,8300586638
10000,24997500,0,12985027865
10000,24997500,1,160239
10000,24997500,2,9077492932
10000,24997500,3,9077747744
10000,24997500,0,12986404227
10000,24997500,1,159969
10000,24997500,2,8742926444
10000,24997500,3,8743182945
10000,24997500,0,12941167581
10000,24997500,1,161223
10000,24997500,2,8282475636
10000,24997500,3,8282730750
10000,24997500,0,12959999649
10000,24997500,1,160388
10000,24997500,2,8317666826
10000,24997500,3,8317919790
10000,24997500,0,12965905701
10000,24997500,1,158642
10000,24997500,2,8346587879
10000,24997500,3,8346844275
10000,24997500,0,12992660467
10000,24997500,1,161207
10000,24997500,2,8264739127
10000,24997500,3,8264996978
10000,24997500,0,12964169429
10000,24997500,1,159933
10000,24997500,2,8330228316
10000,24997500,3,8330483096
10000,24997500,0,12954269542
10000,24997500,1,160040
10000,24997500,2,8227951657
10000,24997500,3,8228208964
10000,24997500,0,12981414547
10000,24997500,1,157535
10000,24997500,2,8961416053
10000,24997500,3,8961673459
10000,24997500,0,12966106493
10000,24997500,1,160600
10000,24997500,2,8387551515
10000,24997500,3,8387809160
10000,24997500,0,12939322060
10000,24997500,1,158214
10000,24997500,2,8328563860
10000,24997500,3,8328817543
10000,24997500,0,12962939602
10000,24997500,1,159894
10000,24997500,2,8241477409
10000,24997500,3,8241735467
10000,24997500,0,12929184354
10000,24997500,1,160243
10000,24997500,2,8906251193
10000,24997500,3,8906507356
10000,24997500,0,12938426654
10000,24997500,1,161764
10000,24997500,2,8297034716
10000,24997500,3,8297296098
10000,24997500,0,12988881450
10000,24997500,1,160994
10000,24997500,2,8425089377
10000,24997500,3,8425355830
10000,24997500,0,12913212673
10000,24997500,1,161029
10000,24997500,2,8303446549
10000,24997500,3,8303703223
10000,24997500,0,12960022143
10000,24997500,1,162221
10000,24997500,2,8369956591
10000,24997500,3,8370212770
10000,24997500,0,12939390770
10000,24997500,1,159595
10000,24997500,2,8340005183
10000,24997500,3,8340261108
10000,24997500,0,12975650034
10000,24997500,1,167977
10000,24997500,2,8249007125
10000,24997500,3,8249272337
10000,24997500,0,12983634082
10000,24997500,1,160286
10000,24997500,2,8305935712
10000,24997500,3,8306188707
10000,24997500,0,12969529207
10000,24997500,1,159858
10000,24997500,2,8393315555
10000,24997500,3,8393571807
10000,24997500,0,12970322788
10000,24997500,1,160226
10000,24997500,2,8232992972
10000,24997500,3,8233248962
10000,24997500,0,12945334829
10000,24997500,1,158524
10000,24997500,2,8392519687
10000,24997500,3,8392778226
10000,24997500,0,12946515522
10000,24997500,1,165787
10000,24997500,2,8340270179
10000,24997500,3,8340534458
10000,24997500,0,12937203508
10000,24997500,1,160619
10000,24997500,2,8313893565
10000,24997500,3,8314150260
10000,24997500,0,12915534770
10000,24997500,1,161432
10000,24997500,2,8455439094
10000,24997500,3,8455696369
10000,24997500,0,12943576255
10000,24997500,1,159061
10000,24997500,2,8308360316
10000,24997500,3,8308610674
10000,24997500,0,12968731021
10000,24997500,1,158797
10000,24997500,2,8341840619
10000,24997500,3,8342094425
10000,24997500,0,12945435953
10000,24997500,1,160851
10000,24997500,2,8309311252
10000,24997500,3,8309566931
10000,24997500,0,12945215624
10000,24997500,1,159895
10000,24997500,2,8390242278
10000,24997500,3,8390496417
10000,24997500,0,12979393040
10000,24997500,1,160622
10000,24997500,2,8367428029
10000,24997500,3,8367682802
10000,24997500,0,12958117659
10000,24997500,1,166304
10000,24997500,2,8324800174
10000,24997500,3,8325062042
10000,24997500,0,12918909945
10000,24997500,1,161640
10000,24997500,2,8348891982
10000,24997500,3,8349147084
10000,24997500,0,13016221575
10000,24997500,1,160490
10000,24997500,2,8288890603
10000,24997500,3,8289147053
10000,24997500,0,12990510266
10000,24997500,1,160319
10000,24997500,2,8339505647
10000,24997500,3,8339763829
10000,24997500,0,12960521266
10000,24997500,1,167647
10000,24997500,2,8321649186
10000,24997500,3,8321915191
10000,24997500,0,12940429191
10000,24997500,1,161370
10000,24997500,2,8377787410
10000,24997500,3,8378044259
10000,24997500,0,12971070446
10000,24997500,1,159699
10000,24997500,2,8313438395
10000,24997500,3,8313691370
10000,24997500,0,12973152018
10000,24997500,1,158604
10000,24997500,2,8209504378
10000,24997500,3,8209758809
10000,24997500,0,12939353025
10000,24997500,1,160049
10000,24997500,2,8264593729
10000,24997500,3,8264851792
10000,24997500,0,12943182582
10000,24997500,1,157021
10000,24997500,2,8212402901
10000,24997500,3,8212656893
10000,24997500,0,12945117428
10000,24997500,1,167811
10000,24997500,2,8368669989
10000,24997500,3,8368932343
10000,24997500,0,12954622020
10000,24997500,1,158371
10000,24997500,2,8471550647
10000,24997500,3,8471803825
10000,24997500,0,12978128073
10000,24997500,1,161715
10000,24997500,2,8293861493
10000,24997500,3,8294127061
10000,24997500,0,12976387802
10000,24997500,1,160076
10000,24997500,2,8332078889
10000,24997500,3,8332337752
10000,37496250,0,19532066023
10000,37496250,1,159748
10000,37496250,2,13658424678
10000,37496250,3,13658685722
10000,37496250,0,19413366008
10000,37496250,1,158924
10000,37496250,2,12687724235
10000,37496250,3,12687979538
10000,37496250,0,19418053758
10000,37496250,1,159900
10000,37496250,2,12729129763
10000,37496250,3,12729395758
10000,37496250,0,19385870612
10000,37496250,1,160065
10000,37496250,2,12968727764
10000,37496250,3,12968982352
10000,37496250,0,19449319663
10000,37496250,1,160058
10000,37496250,2,12939552773
10000,37496250,3,12939810445
10000,37496250,0,19426187785
10000,37496250,1,164326
10000,37496250,2,12708618784
10000,37496250,3,12708882546
10000,37496250,0,19460083778
10000,37496250,1,160589
10000,37496250,2,12653346991
10000,37496250,3,12653606744
10000,37496250,0,19468667565
10000,37496250,1,157644
10000,37496250,2,12715037513
10000,37496250,3,12715296133
10000,37496250,0,19389994563
10000,37496250,1,160555
10000,37496250,2,12657874964
10000,37496250,3,12658130811
10000,37496250,0,19419847802
10000,37496250,1,159595
10000,37496250,2,12701873147
