"v","e","s","t"
10000,24997500,2,880094120
10000,24997500,3,886946442
10000,24997500,0,96870160786
10000,24997500,1,3626202
10000,24997500,2,842340194
10000,24997500,3,850008383
10000,24997500,0,88289446789
10000,24997500,1,3125229
10000,24997500,2,788231527
10000,24997500,3,795188843
10000,24997500,0,100347386575
10000,24997500,1,3031855
10000,24997500,2,855684283
10000,24997500,3,862071371
10000,24997500,0,88762815522
10000,24997500,1,5924656
10000,24997500,2,781589640
10000,24997500,3,792885853
10000,24997500,0,94255033501
10000,24997500,1,2903247
10000,24997500,2,770089526
10000,24997500,3,777753834
10000,24997500,0,89417925238
10000,24997500,1,3123507
10000,24997500,2,832751146
10000,24997500,3,839406026
10000,24997500,0,101137918495
10000,24997500,1,2934040
10000,24997500,2,826576703
10000,24997500,3,833366559
10000,24997500,0,89373240274
10000,24997500,1,3144965
10000,24997500,2,768035189
10000,24997500,3,774631264
10000,24997500,0,99456451379
10000,24997500,1,3032192
10000,24997500,2,837451506
10000,24997500,3,844315779
10000,24997500,0,97426261655
10000,24997500,1,3653754
10000,24997500,2,892055630
10000,24997500,3,902272944
10000,24997500,0,96776017885
10000,24997500,1,3003855
10000,24997500,2,848005044
10000,24997500,3,854891114
10000,24997500,0,99209132670
10000,24997500,1,3144162
10000,24997500,2,855276626
10000,24997500,3,861968636
10000,24997500,0,90239744161
10000,24997500,1,5929318
10000,24997500,2,807400441
10000,24997500,3,817329097
10000,24997500,0,94057807764
10000,24997500,1,3183999
10000,24997500,2,773694876
10000,24997500,3,780327996
10000,24997500,0,95957300186
10000,24997500,1,2984800
10000,24997500,2,883019173
10000,24997500,3,889469327
10000,24997500,0,91394928861
10000,24997500,1,2906881
10000,24997500,2,782919914
10000,24997500,3,789795406
10000,24997500,0,88905081361
10000,24997500,1,2983395
10000,24997500,2,793328375
10000,24997500,3,800266244
10000,24997500,0,89181894430
10000,24997500,1,2957409
10000,24997500,2,802302829
10000,24997500,3,808740707
10000,24997500,0,92038057215
10000,24997500,1,2884050
10000,24997500,2,795966650
10000,24997500,3,802393936
10000,24997500,0,89835783633
10000,24997500,1,3542985
10000,24997500,2,789449240
10000,24997500,3,798887706
10000,24997500,0,89261584497
10000,24997500,1,3077096
10000,24997500,2,879454614
10000,24997500,3,885991490
10000,24997500,0,88658079866
10000,24997500,1,3123300
10000,24997500,2,830011717
10000,24997500,3,836595613
10000,24997500,0,88883225470
10000,24997500,1,2986357
10000,24997500,2,865190481
10000,24997500,3,872082226
10000,24997500,0,91895756711
10000,24997500,1,3277411
10000,24997500,2,797358754
10000,24997500,3,804547483
10000,24997500,0,89192756521
10000,24997500,1,3608964
10000,24997500,2,798634238
10000,24997500,3,805803495
10000,24997500,0,88897166912
10000,24997500,1,3986692
10000,24997500,2,824904386
10000,24997500,3,834327291
10000,24997500,0,88651087338
10000,24997500,1,3591610
10000,24997500,2,788879864
10000,24997500,3,795938366
10000,24997500,0,88727725697
10000,24997500,1,5648665
